title,brand,os,ram,cpu,storage,screen size,resolution,cpu speed,model,wireless provider,cellular technology,color,refresh rate,sim count,wireless technology,price,price before promotion,rate,camera,img,website,currancy,url,reviews,width resolution,height resolution
Apple iPhone 7 SimFree Smartphone Black 32GB (Refurbished),Apple,ios,,,32.0,4.7,,,iPhone 7,Unlocked for All Carriers,4G,Black,,,LTE,76.608,,,,https://m.media-amazon.com/images/I/41PrJl99AxL.__AC_SX300_SY300_QL70_ML2_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Apple-iPhone-SimFree-Smartphone-Refurbished/dp/B06Y5X22R3/ref=sr_1_189?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-189,[],,
"Redmi 12 - G88 Processor, 90Hz FHD+, 5000mAh 18W, 50mp main Camera, 4+128GB, Polar Silver",Xiaomi,MIUI 14,,,128.0,,1920 x 1080,,Redmi 12,Unlocked for All Carriers,4G,Silver,90 Hz,,,109.44,,4.0,50MP,https://m.media-amazon.com/images/I/51wqJ8yM95L._AC_SL1001_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Redmi-12-Processor-5000mAh-Camera/dp/B0C5RRVYR9/ref=sr_1_169?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-169,[],1920.0,1080.0
"Swissvoice G50 black, Seniors-Smartphone unlocked without Branding",swissvoice,android,,,1.0,,,,ATL1422146,du,2G,Black,,,LTE,185.44608,,3.6,,https://m.media-amazon.com/images/I/418qFGlxT-L._AC_SL1000_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Swissvoice-Seniors-Smartphone-unlocked-without-Branding/dp/B089MG3CLG/ref=sr_1_180?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-180,[],,
"HONOR 200 Pro 5G Smartphone, 12 GB, 512 GB, 5200 mAh Battery, Snapdragon 8s Gen 3, 17 cm (6.78 Inch) AMOLED Display, 50 MP Triple Camera, Dual-SIM, NFC, MagicOS 8.0/Android 14 (without Charger),",HONOR,,,,512.0,,,,,Unlocked for All Carriers,5G,White,,Drievoudige simkaart,,579.92256,,5.0,,https://m.media-amazon.com/images/I/61FR5+pFi0L._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Smartphone-Battery-Snapdragon-Display-Dual-SIM/dp/B0DBZDLSB9/ref=sr_1_190?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-190,[],,
"SPC Jasper 2 4G - Mobile Phone with Whatsapp, Large Buttons and Buttons, Hearing Aid Compatible, SOS Button, Dual Screen, 4G and Charging Dock - Black",SPC,KaiOS,,,32.0,2.8,128x128,,Jasper 2 4G,Unlocked,4G,Black,,,,96.3072,97.106112,3.3,,https://m.media-amazon.com/images/I/41LPDJxb8lL._AC_SL1100_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/SPC-Jasper-4G-Whatsapp-Compatible/dp/B0B69C1JBZ/ref=sr_1_171?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-171,[],128.0,128.0
"Samsung Galaxy A53 5G Android Smartphone, Display 6.5 Inches, 6 GB RAM and 128 GB, Awesome Blue [Italian Version] (Refurbished)",SAMSUNG,Android 12.0,,,128.0,6.5,,,galaxy_a53_5g,Unlocked,5G,Blue,,,"GSM, Wi-Fi, CDMA, LTE",183.8592,,3.9,,https://m.media-amazon.com/images/I/81xTlGMP81L._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Samsung-Android-Smartphone-Display-Refurbished/dp/B0B93ZQ99N/ref=sr_1_179?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-179,[],,
iPhone 14 Pro Max 128GB,Apple,iOS 16,,,128.0,6.7,,,iPhone,Unlocked for All Carriers,5G,Gold,,,Wi-Fi,941.184,,4.0,,https://m.media-amazon.com/images/I/71T5NVOgbpL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/iPhone-14-Pro-Max-128GB/dp/B0BNM1N1J4/ref=sr_1_177?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-177,[],,
"Apple iPhone 8, 64GB, Silver (Refurbished)",Apple,ios,,,64.0,4.7,1334 x 750,,Apple iPhone 8 64GB Silver (Refurbished),3,3G,Silver,,,,101.7792,,,,https://m.media-amazon.com/images/I/41k73vaBoXL.__AC_SX300_SY300_QL70_ML2_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Apple-iPhone-64GB-Silver-Refurbished/dp/B0798DGZKV/ref=sr_1_176?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-176,[],1334.0,750.0
"Sony Xperia 5 V, 6.1 inch, 21:9, HDR OLED, 120 Hz, Triple Focal Length with Next Gen & Zeiss Sensor, Android 13, Free SIM, 8 GB RAM, 128 GB Memory, Dual-SIM, Hybrid 1",Sony,Android 13.0,8.0,Snapdragon,128.0,,,,Xperia 5 V,Unlocked for All Carriers,5G,Black,120 Hz,,,874.4256,,4.5,,https://m.media-amazon.com/images/I/8165PQGtt-L._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Sony-Xperia-6-1-inch-21/dp/B0CH3RJ7J1/ref=sr_1_173?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-173,[],,
"OPPO Find X3 Pro 5G Free Mobile Phone, 12GB + 256GB, Camera 50+50+13+3MP, Android Smartphone, 4500mAh, Fast Charge 65W, Dual-SIM, Extra USB Cable - Black",OPPO,"ColorOS 11.2, Android 11.0",12.0,,256.0,6.7,,,Find X3 Pro 5G + Cable USB,Unlocked for All Carriers,5G,Black,120 Hz,,,665.17632,,4.3,50MP,https://m.media-amazon.com/images/I/71kHnHOiSCL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Mobile-Android-Smartphone-4500mAh-Dual-SIM/dp/B0B2DNZW75/ref=sr_1_178?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-178,[],,
"ONEPLUS Nord 2 5G (UK), 12GB RAM, 256GB SIM-Free, Triple Camera Smartphone with 65W Warp Charge, Grey (Refurbished)",,,12.0,,,,,,,,,,,,,259.3728,,,,https://m.media-amazon.com/images/I/71b7gZyb18L._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/ONEPLUS-SIM-Free-Triple-Smartphone-Refurbished/dp/B0B3XZ83MG/ref=sr_1_192?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-192,[],,
"Huawei P30 Lite 128GB 6.1 Inch FHD Dewdrop Display Smartphone with 48MP AI Ultra-wide Triple Camera, 4GB RAM, Android 9.0 Sim-free Mobile Phone, Single Sim, UK Version, Black",HUAWEI,android,8.0,,128.0,6.5,1920 x 1080,2.4 GHz,P30 LITE,Unlocked,4G,Black,,,,119.2896,,4.4,48MP,https://m.media-amazon.com/images/I/81TVwqx2a0L._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Dewdrop-Display-Smartphone-Ultra-wide-Sim-free/dp/B07Q3RX9MY/ref=sr_1_181?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-181,[],1920.0,1080.0
"Hipipooo Hipihoo Mini Mobile Phone, Unlocked 3G Dual SIM Smartphone, 3 Inch 1000mAh Android 8.1 Smartphone, 2GB + 16GB (Blue)",Hipipooo,Android 8.1,2.0,,16.0,3.0,,,XS15,Unlocked for All Carriers,3G,Blue,,,GSM,67.8528,,3.2,,https://m.media-amazon.com/images/I/71s72QE+voL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Hipipooo-Hipihoo-Unlocked-Smartphone-1000mAh/dp/B0CGX5PH3H/ref=sr_1_170?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-170,[],,
Doro Primo 401 GSM mobile phone with large color and illuminated display,Doro,Symbian,16.0,,12.0,2.0,,,Primo 401,du,2G,Black,,,,50.3424,51.425856,3.9,,https://m.media-amazon.com/images/I/41OTQqLGJaL._AC_SL1200_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Primo-mobile-phone-illuminated-display/dp/B00TUXHZTW/ref=sr_1_175?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-175,[],,
Xiaomi Redmi Note 12 5G 128GB/4GB Dual-SIM Onyx-Gray,Xiaomi,android,,,4.0,6.7,,,Model Specific,Unlocked,5G,Gray,120 Hz,,,152.1216,,4.0,48MP,https://m.media-amazon.com/images/I/71sQnFe0oSL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Xiaomi-Redmi-128GB-Dual-SIM-Onyx-Gray/dp/B0BW8TNS6R/ref=sr_1_182?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-182,[],,
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue (Renewed)",Apple,ios,,,128.0,6.7,,,iPhone 12 Pro Max,Unlocked,,Pacific Blue,,,Wi-Fi,473.8752,,4.0,,https://m.media-amazon.com/images/I/71CaXdX4AJL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Apple-iPhone-128GB-Pacific-Renewed/dp/B08PCCKHJM/ref=sr_1_172?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-172,[],,
"OOONO CO-DRIVER NO1: Warnt vor Blitzern und Gefahren im Straßenverkehr in Echtzeit, automatisch aktiv nach Verbindung zum Smartphone über Bluetooth, Daten von Blitzer.de",OOONO,,,,,,,,,,,Blue,,,,53.6256,,4.2,,https://m.media-amazon.com/images/I/71Zret64uVL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/OOONO-CO-DRIVER-NO1-Stra%C3%9Fenverkehr-Blitzer/dp/B07Q619ZKS/ref=sr_1_73?dib=eyJ2IjoiMSJ9.85t2AXp2uEKZppbDGTdrtK-RIBNGriKLs6jHvEs3uDxA4BjrkcHlT4SC7VG1BM5jDMHMinTs01QsRtcCYGk2QmwX7lWkMTmoJixulFQJYjhXadTdRRrCKorge55rs4DTh-MmIQ6SL8pZ6m6_-0vnAAPf4g7EprAi87MYuYhYSmSxhQNa0pj6Xgjh80iln-6u_sEoaDmhfi0rZjjdrZbRpDw3x6j1g8MrfEHeifq3SzK463tF20x23yFI_E_HzUqE15UdQvlZMh9maYPxmnYt5b3HxrsfmVA8ut4puKybttw.YkYTPuLWqwM6hxvobysw9voZsbJGGroUI4ssnbO420Y&dib_tag=se&qid=1728792780&s=electronics&sr=1-73,"['Name: Antanas  Tubine, Rating: 5.0 out of 5 stars, Date: Reviewed in the Netherlands on 17 January 2024, Review: None', 'Name: ad Liebregts, Rating: 5.0 out of 5 stars, Date: Reviewed in the Netherlands on 7 December 2023, Review: None', 'Name: Artikel binnen maar slechte kwaliteit antislip matje helemaal gekreukeld sonde het is de prijs niet waard, Rating: 4.0 out of 5 stars, Date: Reviewed in the Netherlands on 25 September 2024, Review: None', 'Name: Bijan, Rating: 1.0 out of 5 stars, Date: Reviewed in the Netherlands on 30 December 2023, Review: None']",,
GALAXY A25 5G YELLOW 256Go,SAMSUNG,Android 10.0,,,256.0,6.44,1080 x 2340,,GALAXY A25,1&1,5G,Yellow,,,,280.636992,,4.0,,https://m.media-amazon.com/images/I/51RBJEp8TfL._AC_SL1100_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/GALAXY-A25-5G-YELLOW-256Go/dp/B0CNSYN2MS/ref=sr_1_183?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-183,[],1080.0,2340.0
Samsung Galaxy A52s 5G 128GB Awesome Black Dual SIM (Refurbished),SAMSUNG,Android 13.0,,,128.0,6.5,1080 x 2400,,Samsung Galaxy A52s 5G (A528B) Smartphone 5G 128GB 6.5 Inch Black Android 11 Dual-SIM Black,Unlocked for All Carriers,,Black,,,"GSM, LTE",228.609216,,5.0,,https://m.media-amazon.com/images/I/61l0KAJKriL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Samsung-Galaxy-128GB-Awesome-Refurbished/dp/B0CF2BKJFB/ref=sr_1_188?dib=eyJ2IjoiMSJ9.sHcgZq-_qrQ0bZkvoepzgAnbrZQpuhl2RPJMHSN6OiJoCBkMkGIgcqspJRfAgc_AngtHxfOz9H65mDt_c_ZRorUUaEhQfP-eW0HJisAIswxStEIU-5dnrsuZKoWBgsWYhsoKhMAFBxMei3aCip4oWXZCrHTVXJdIfa0xRKoTJe0giAwzgHOPv48aroo8Y3Cn8U-xKA7Jg8CLdk9HEQ0c-dwKxPStsCT4t4Mr-OwFWVOyO4y7e0CZN1rXagyfilbYt9LLLIWN_uvngP1JGAisIHN2KY69NRfh6Bj0XsjmSRY.eDCP2Su1Ku6a6Jam1LV7LHtWf5IjV2xvxEIGlXrTPc4&dib_tag=se&qid=1728792780&s=electronics&sr=1-188,[],1080.0,2400.0
"Mi NI Flip Mobile Phone, 2G Dual SIM, Foldable Mobile Phone with 1.77 Inch HD Display, HD Rear Camera, FM Radio, Speed Dial, LED Torch, Flip Phone with Large Keys for Seniors, Purple",Tosuny,,,,0.03125,1.77,128 x 160,,Tosuny 0d2ygniut1-14,Unlocked for All Carriers,GSM,Purple,,Dual SIM,GSM,24.164352,,3.0,,https://m.media-amazon.com/images/I/61UdSPJC9hL._AC_SL1500_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Mobile-Foldable-Display-Camera-Seniors/dp/B0D9HMKNJ8/ref=sr_1_87?dib=eyJ2IjoiMSJ9.85t2AXp2uEKZppbDGTdrtK-RIBNGriKLs6jHvEs3uDxA4BjrkcHlT4SC7VG1BM5jDMHMinTs01QsRtcCYGk2QmwX7lWkMTmoJixulFQJYjhXadTdRRrCKorge55rs4DTh-MmIQ6SL8pZ6m6_-0vnAAPf4g7EprAi87MYuYhYSmSxhQNa0pj6Xgjh80iln-6u_sEoaDmhfi0rZjjdrZbRpDw3x6j1g8MrfEHeifq3SzK463tF20x23yFI_E_HzUqE15UdQvlZMh9maYPxmnYt5b3HxrsfmVA8ut4puKybttw.YkYTPuLWqwM6hxvobysw9voZsbJGGroUI4ssnbO420Y&dib_tag=se&qid=1728792780&s=electronics&sr=1-87,[],128.0,160.0
Samsung SM-A556B Galaxy A55 5G Dual SIM 8GB 256GB Awesome Navy EU,SAMSUNG,,,,256.0,,,,Galaxy A55,Unlocked for All Carriers,,Navy,,Dubbele simkaart,"GSM, CDMA, LTE",398.3616,643.386816,4.4,,https://m.media-amazon.com/images/I/51ibLbfhLAL._AC_SL1000_.jpg,Amazon EG,USD,https://www.amazon.nl/-/en/Samsung-SM-A556B-Galaxy-256GB-Awesome/dp/B0D2J35LLQ/ref=sr_1_80?dib=eyJ2IjoiMSJ9.85t2AXp2uEKZppbDGTdrtK-RIBNGriKLs6jHvEs3uDxA4BjrkcHlT4SC7VG1BM5jDMHMinTs01QsRtcCYGk2QmwX7lWkMTmoJixulFQJYjhXadTdRRrCKorge55rs4DTh-MmIQ6SL8pZ6m6_-0vnAAPf4g7EprAi87MYuYhYSmSxhQNa0pj6Xgjh80iln-6u_sEoaDmhfi0rZjjdrZbRpDw3x6j1g8MrfEHeifq3SzK463tF20x23yFI_E_HzUqE15UdQvlZMh9maYPxmnYt5b3HxrsfmVA8ut4puKybttw.YkYTPuLWqwM6hxvobysw9voZsbJGGroUI4ssnbO420Y&dib_tag=se&qid=1728792780&s=electronics&sr=1-80,"['Name: Robert, Rating: 1.0 out of 5 stars, Date: Reviewed in the Netherlands on 26 June 2024, Review: None']",,
